Show_id,Title,Director,Cast,Country,Date_added,Release_year,Rating,Duration,Listed_in,Description,Type,Tyoe
81213894,The Zoya Factor,Abhishek Sharma,"Sonam Kapoor, Dulquer Salmaan, Sanjay Kapoor, Sikander Kher, Angad Bedi, Koel Purie, Pooja Bhamrah, Manu Rishi Chadha",India,2019-11-30,2019,Tv-14,135 min,"Comedies, Dramas, International Movies","A Goofy Copywriter Unwittingly Convinces The Indian Cricket Team That She’S Their Lucky Mascot, To The Dismay Of Their Superstition-Shunning Captain.",Movie,Movie
81082007,Atlantics,Mati Diop,"Mama Sane, Amadou Mbow, Ibrahima Traore, Nicole Sougou, Amina Kane, Mariama Gassama, Coumba Dieng, Ibrahima Mbaye, Diankou Sembene","France, Senegal, Belgium",2019-11-29,2019,Tv-14,106 min,"Dramas, Independent Movies, International Movies","Arranged To Marry A Rich Man, Young Ada Is Crushed When Her True Love Goes Missing At Sea During A Migration Attempt – Until A Miracle Reunites Them.",Movie,Movie
81172754,Crazy People,Moses Inwang,"Ramsey Nouah, Chigul, Sola Sobowale, Ireti Doyle, Ben Touitou, Francis Onwochei, Ememobong Nkana, Emem Inwang, Patrick Onyeke",Nigeria,2019-11-29,2018,Tv-14,107 min,"Comedies, International Movies, Thrillers",Nollywood Star Ramsey Nouah Learns That Someone Is Impersonating Him And Breaks Out Of A Mental Institution To Expose The Imposter.,Movie,Movie
81120982,I Lost My Body,Jérémy Clapin,"Hakim Faris, Victoire Du Bois, Patrick D'Assumçao, Dev Patel, Alia Shawkat, George Wendt",France,2019-11-29,2019,Tv-Ma,81 min,"Dramas, Independent Movies, International Movies","Romance, Mystery And Adventure Intertwine As A Young Man Falls In Love And A Severed Hand Scours Paris For Its Owner In This Mesmerizing Animated Film.",Movie,Movie
81227195,Kalushi: The Story Of Solomon Mahlangu,Mandla Dube,"Thabo Rametsi, Thabo Malema, Welile Nzuza, Jafta Mamabolo, Louw Venter, Pearl Thusi",South Africa,2019-11-29,2016,Tv-Ma,107 min,"Dramas, International Movies","The Life And Times Of Iconic South African Liberation Fighter Solomon Mahlangu, Who Battled The Forces Of Apartheid, Come Into Focus.",Movie,Movie
81172899,Payday,Cheta Chukwu,"Baaj Adebule, Ebiye Victor, Meg Otanwa, Bisola Aiyeola, Mawuli Gavor, Zack Orji, Segilola Ogidan",Nigeria,2019-11-29,2018,Tv-Ma,110 min,"Comedies, Independent Movies, International Movies","After An Expensive Night Out, Two Flatmates Get Tangled In An Overnight Misadventure To Recover Their Rent Money To Pay Their Dead Landlord'S Daughter.",Movie,Movie
81172908,The Accidental Spy,Roger Russell,"Ramsey Nouah, Christine Allado, Ayo Makun, Emmanuel Edunjobi, Thenjiwe Moseley, Miguel A. Núñez Jr., Bucci Franklin",Nigeria,2019-11-29,2017,Tv-14,104 min,"Action & Adventure, Comedies, International Movies","Nursing A Broken Heart, An It Specialist Moves To London To Audition For A Reality Tv Show That Unexpectedly Turns Into A Real-Life Cartel Drama.",Movie,Movie
81172901,The Island,Toka Mcbaror,"Sambasa Nzeribe, Segun Arinze, Tokunbo Idowu, Femi Adebayo",Nigeria,2019-11-29,2018,Tv-14,93 min,"Dramas, International Movies, Thrillers","When A Colonel Uncovers Controversial Intel About The Government, He Makes A Shocking Discovery And Must Decide Whether To Reveal It Or Risk His Life.",Movie,Movie
81033086,Holiday Rush,Leslie Small,"Romany Malco, Sonequa Martin-Green, Darlene Love, Deon Cole, La La Anthony, Deysha Nelson, Amarr M. Wooten, Selena-Marie Alphonse, Andrea-Marie Alphonse",United States,2019-11-28,2019,Tv-Pg,94 min,"Children & Family Movies, Dramas",A Widowed Radio Dj And His Four Spoiled Kids Need To Tighten Their Belts And Pull Together When Their Life Of Luxury Turns Lean Just Before Christmas.,Movie,Movie
60020826,The Score,Frank Oz,"Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett, Gary Farmer, Paul Soles, Jamie Harrold, Serge Houde","Germany, Canada, United States",2019-11-28,2001,R,124 min,"Dramas, Thrillers","Ready-To-Retire Safecracker Nick, Flamboyant Fence Max And Talented But Volatile Thief Jackie Team Up To Rob The Montreal Customs House.",Movie,Movie
